egoid,stress,happy,health,trust,sleep_quality,sedentary,exercise_alone,exercise_others,beer,wine,caffeine,tobacco,wave
44869,1.9,2.0,1.0,3.0,3.0,3.7272727,0.0,3.0,3.0,3.0,2.0,3.0,4
34591,2.0999999,0.0,1.0,2.6666667,,2.8181818,1.0,0.0,0.0,0.0,1.0,3.0,4
92552,1.7,0.0,1.0,3.1666667,4.0,2.4545455,1.0,0.0,1.0,1.0,1.0,0.0,4
73158,0.89999998,3.0,0.0,3.3333333,4.0,2.3636363,0.0,4.0,3.0,3.0,3.0,3.0,4
45963,2.8,1.0,1.0,3.5,7.0,2.3636363,3.0,1.0,0.0,1.0,4.0,3.0,4
22138,2.0,2.0,2.0,2.8333333,9.0,2.7272727,3.0,4.0,0.0,1.0,4.0,3.0,4
77941,2.3,2.0,0.0,3.0,,2.3636363,4.0,4.0,1.0,1.0,4.0,3.0,4
44873,1.9,0.0,2.0,3.0,,2.0,1.0,4.0,1.0,1.0,1.0,3.0,4
83005,2.8,1.0,1.0,3.0,,3.0,4.0,3.0,3.0,2.0,4.0,3.0,4
31439,2.0999999,2.0,2.0,2.5,7.0,2.6363637,1.0,1.0,1.0,1.0,3.0,3.0,4
32249,1.4,3.0,2.0,3.5,,2.7272727,1.0,4.0,4.0,4.0,4.0,3.0,4
46558,1.8,3.0,0.0,3.5,6.0,3.6363637,2.0,3.0,0.0,3.0,3.0,3.0,4
24016,2.0999999,2.0,2.0,3.0,,2.909091,1.0,1.0,3.0,0.0,4.0,3.0,4
93699,1.5,2.0,1.0,3.0,10.0,2.8181818,0.0,1.0,0.0,2.0,4.0,3.0,4
36875,2.4000001,2.0,2.0,3.1666667,,2.5454545,1.0,1.0,0.0,0.0,4.0,3.0,4
84011,2.0,0.0,2.0,2.8333333,6.0,1.7272727,0.0,4.0,3.0,0.0,3.0,3.0,4
90646,3.5999999,2.0,1.0,3.5,,2.4545455,1.0,1.0,1.0,1.0,4.0,2.0,4
88008,2.0,2.0,2.0,2.8333333,5.0,2.909091,4.0,1.0,3.0,3.0,1.0,3.0,4
83566,2.8,1.0,1.0,3.3333333,8.0,1.5454545,0.0,3.0,3.0,3.0,1.0,3.0,4
21090,1.3,2.0,1.0,4.3333335,4.0,1.7272727,3.0,3.0,3.0,3.0,3.0,3.0,4
87032,2.5999999,2.0,2.0,3.1666667,6.0,4.4545455,3.0,3.0,3.0,2.0,4.0,3.0,4
94641,2.5,0.0,3.0,2.8333333,11.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,4
82728,1.6,2.0,2.0,3.3333333,4.0,1.8181819,4.0,1.0,3.0,3.0,3.0,3.0,4
45076,2.3,2.0,2.0,3.6666667,5.0,2.0,4.0,4.0,3.0,1.0,4.0,3.0,4
58437,1.4,3.0,0.0,3.3333333,5.0,4.3636365,4.0,1.0,3.0,3.0,4.0,4.0,4
94862,1.1,2.0,0.0,3.1666667,,1.7272727,4.0,1.0,1.0,1.0,1.0,2.0,4
14606,0.30000001,3.0,0.0,3.8333333,,2.7272727,1.0,0.0,3.0,3.0,3.0,3.0,4
64075,1.2,2.0,2.0,3.8333333,,3.7272727,1.0,4.0,3.0,3.0,0.0,3.0,4
39787,0.80000001,3.0,2.0,3.3333333,5.0,2.090909,2.0,0.0,3.0,3.0,3.0,3.0,4
44872,1.5,3.0,0.0,3.5,6.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,4
87783,2.3,2.0,2.0,3.6666667,5.0,2.2727273,0.0,0.0,1.0,1.0,1.0,3.0,4
57325,2.0,2.0,2.0,2.6666667,,2.2727273,1.0,3.0,3.0,0.0,4.0,3.0,4
58633,3.0,2.0,1.0,2.1666667,7.0,2.7272727,2.0,3.0,3.0,3.0,3.0,3.0,4
27306,1.9,2.0,2.0,3.8333333,6.0,1.2727273,4.0,4.0,2.0,2.0,4.0,3.0,4
46365,1.8,2.0,2.0,3.0,6.0,2.3636363,0.0,0.0,4.0,2.0,4.0,2.0,4
74492,2.2,0.0,1.0,3.0,,2.0,4.0,0.0,0.0,1.0,2.0,3.0,4
76791,1.7,0.0,2.0,3.6666667,,2.090909,1.0,1.0,3.0,3.0,1.0,3.0,4
23287,1.0,2.0,2.0,3.6666667,4.0,1.1818181,1.0,4.0,3.0,3.0,3.0,3.0,4
28247,3.0999999,0.0,1.0,2.6666667,6.0,3.0,2.0,3.0,2.0,0.0,1.0,3.0,4
51760,1.1,2.0,0.0,3.0,,1.2727273,0.0,4.0,1.0,0.0,0.0,2.0,4
72806,1.7,2.0,2.0,3.6666667,5.0,1.6363636,1.0,0.0,2.0,0.0,4.0,3.0,4
98766,0.30000001,3.0,0.0,3.3333333,3.0,2.5454545,4.0,0.0,1.0,0.0,3.0,2.0,4
60997,1.8,2.0,3.0,2.1666667,,2.4545455,0.0,1.0,4.0,0.0,1.0,3.0,4
36038,1.2,2.0,2.0,3.6666667,5.0,1.8181819,4.0,4.0,1.0,1.0,1.0,4.0,4
39146,1.9,2.0,2.0,3.3333333,5.0,3.2727273,2.0,3.0,3.0,3.0,4.0,3.0,4
60963,2.0,2.0,2.0,3.6666667,10.0,2.2727273,2.0,0.0,3.0,3.0,3.0,3.0,4
67918,1.1,2.0,2.0,3.3333333,4.0,2.3636363,0.0,0.0,3.0,3.0,4.0,3.0,4
34467,2.0,3.0,0.0,3.3333333,4.0,1.8181819,1.0,4.0,3.0,3.0,0.0,3.0,4
90692,1.2,2.0,3.0,4.3333335,,2.6363637,2.0,2.0,2.0,2.0,1.0,3.0,4
32668,3.0999999,1.0,1.0,2.1666667,5.0,2.2727273,0.0,3.0,4.0,4.0,4.0,1.0,4
59673,1.6,0.0,2.0,3.8333333,6.0,2.090909,1.0,1.0,0.0,1.0,4.0,3.0,4
74899,2.0,2.0,2.0,4.1666665,8.0,2.090909,4.0,1.0,1.0,0.0,2.0,2.0,4
35011,1.4,0.0,1.0,3.1666667,5.0,2.3636363,0.0,0.0,1.0,1.0,1.0,3.0,4
35416,2.4000001,0.0,2.0,3.1666667,4.0,3.1818182,1.0,0.0,3.0,3.0,4.0,3.0,4
89710,2.5,1.0,0.0,2.3333333,5.0,3.909091,0.0,1.0,3.0,1.0,4.0,3.0,4
97596,2.8,1.0,2.0,2.8333333,11.0,3.0,4.0,1.0,3.0,0.0,4.0,3.0,4
57359,1.9,2.0,2.0,3.3333333,6.0,2.7272727,0.0,3.0,1.0,1.0,3.0,3.0,4
17308,1.9,0.0,2.0,3.1666667,5.0,1.4545455,4.0,1.0,1.0,1.0,4.0,3.0,4
51851,1.4,2.0,2.0,2.5,6.0,2.1818182,4.0,4.0,1.0,1.0,4.0,0.0,4
77838,1.4,3.0,2.0,3.1666667,8.0,3.5454545,1.0,1.0,1.0,4.0,4.0,3.0,4
77872,1.5,2.0,2.0,3.6666667,7.0,2.8181818,1.0,1.0,1.0,0.0,4.0,2.0,4
43114,1.7,3.0,0.0,3.3333333,7.0,1.9090909,1.0,1.0,1.0,1.0,4.0,3.0,4
72348,1.6,2.0,2.0,3.3333333,5.0,3.2727273,0.0,2.0,3.0,3.0,0.0,3.0,4
89607,2.0,0.0,2.0,3.0,,3.4545455,4.0,4.0,3.0,1.0,3.0,3.0,4
59900,2.0999999,0.0,2.0,3.6666667,10.0,2.2727273,3.0,3.0,1.0,1.0,4.0,3.0,4
28254,1.1,2.0,2.0,3.3333333,6.0,2.4545455,1.0,0.0,1.0,1.0,4.0,2.0,4
56480,1.3,2.0,2.0,3.8333333,6.0,3.5454545,0.0,1.0,4.0,1.0,4.0,1.0,4
28820,2.4000001,1.0,2.0,3.0,,3.5454545,3.0,1.0,3.0,3.0,4.0,3.0,4
35347,1.6,2.0,2.0,2.1666667,7.0,3.8181818,2.0,2.0,0.0,0.0,4.0,3.0,4
45641,1.7,2.0,2.0,3.3333333,5.0,3.2727273,2.0,2.0,3.0,2.0,4.0,3.0,4
64572,1.6,2.0,0.0,3.6666667,6.0,2.7272727,1.0,0.0,3.0,3.0,0.0,3.0,4
